CONCATENADO,TEXTO,CE_GESTOR,TIPO_PROYECTOS,NOMBRE PROYECTO,CLASIF_RED_1,CLASIF_RED_2,RESPONSABLE EA
450060157710,IMPLEMENTACIÓN TI SINGLE RAN 2G/3G/4G   ,RED_CONS,SOLUCIONES STREET CELLS,Street Cell,RF,Street Cell,DEMETRIO
450060157720,IMPLEMENTACIÓN TI SINGLE RAN 2G/3G/4G   ,RED_CONS,SOLUCIONES STREET CELLS,Street Cell,RF,Street Cell,DEMETRIO
450060157730,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B ,RED_CONS,FO ACCESOS,Street Cell,RF,Street Cell,DEMETRIO
450060467130,IMPLEMENTACIÓN ENLACE MICROONDAS        ,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450060476710,AUMENTO DE CARGA ELECTRICA              ,RED_IMP,ADECUACION DE SITIOS (ACCESO),Adecuaciones energía en sitios,RF,Adecuaciones energía en sitios,JORGE
450060689110,IMPLEMENTACIÓN ENLACE MICROONDAS        ,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450060689120,IMPLEMENTACIÓN ENLACE MICROONDAS        ,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450060689130,IMPLEMENTACIÓN ENLACE MICROONDAS        ,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
450060638640,IMPLEMENTACION LAMBDAS 100G             ,RED_IPEXT,CORE IP / MPLS,IP Fotonico,Transmision,IP Fotonico,JENNY
450060638630,IMPLEMENTACION LAMBDAS 100G             ,RED_IPEXT,CORE IP / MPLS,IP Fotonico,Transmision,IP Fotonico,JENNY
450061127390,IMPLEMENTACIÓN DE ENODO B LTE          ,RED_IMP,BASEBANDS,Ampliacion de Capacidad,RF,Ampliacion de Capacidad,ANGGIE
450060558820,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B ,RED_IPEXT,FO ACCESOS,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,DANNER
450060558830,IMPLEMENTACIÓN PLANTA EXTERNA FO NODO B ,RED_IPEXT,FO ACCESOS,Migraciones a FO Urbana - Critico,Transmision,Migraciones a FO Urbana - Critico,DANNER
450060993310,HABILITACIÓN CAPACIDAD 10GEN LAMBDA 100G,RED_IPEXT,CORE IP / MPLS,IP Fotonico,Transmision,IP Fotonico,JENNY
450060993330,HABILITACIÓN CAPACIDAD 10GEN LAMBDA 100G,RED_IPEXT,CORE IP / MPLS,IP Fotonico,Transmision,IP Fotonico,JENNY
4500609933140,HABILITACIÓN CAPACIDAD 10GEN LAMBDA 100G,RED_IPEXT,CORE IP / MPLS,IP Fotonico,Transmision,IP Fotonico,JENNY
4500609933150,HABILITACIÓN CAPACIDAD 10GEN LAMBDA 100G,RED_IPEXT,CORE IP / MPLS,IP Fotonico,Transmision,IP Fotonico,JENNY
4500609933160,HABILITACIÓN CAPACIDAD 10GEN LAMBDA 100G,RED_IPEXT,CORE IP / MPLS,IP Fotonico,Transmision,IP Fotonico,JENNY
4500609933170,HABILITACIÓN CAPACIDAD 10GEN LAMBDA 100G,RED_IPEXT,CORE IP / MPLS,IP Fotonico,Transmision,IP Fotonico,JENNY
4500609933180,IMPLEMENTACION EQUIPO DWDM              ,RED_IPEXT,CORE IP / MPLS,IP Fotonico,Transmision,IP Fotonico,JENNY
4500609933190,IMPLEMENTACION EQUIPO DWDM              ,RED_IPEXT,CORE IP / MPLS,IP Fotonico,Transmision,IP Fotonico,JENNY
4500609933200,IMPLEMENTACION EQUIPO DWDM              ,RED_IPEXT,CORE IP / MPLS,IP Fotonico,Transmision,IP Fotonico,JENNY
4500609933210,IMPLEMENTACION EQUIPO DWDM              ,RED_IPEXT,CORE IP / MPLS,IP Fotonico,Transmision,IP Fotonico,JENNY
450061188620,IMPLEMENTACIÓN ENLACE MICROONDAS        ,RED_IPEXT,MW ACCESO,Modernización MW Ultima Milla,Transmision,Modernización MW Ultima Milla,JENNY
